,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,PASSING,PASSING,PASSING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,DEFENSE,DEFENSE,DEFENSE,DEFENSE,Unnamed: 18_level_0
,RK,NAME,TEAM,POS,WK,OPP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS
55,56,Brandon Aubrey,DAL,K,2,NYG,0,0,0,0,0,0,0,0,0,0,0,0,20.0
56,57,Michael Pittman Jr.,IND,WR,1,MIA,0,0,0,0,0,6,80,1,0,0,0,0,20.0
57,58,Marquise Brown,KC,WR,1,LAC,0,0,0,0,0,10,99,0,0,0,0,0,19.9
58,59,Jauan Jennings,SF,WR,2,NO,0,0,0,0,0,5,89,1,0,0,0,0,19.9
59,60,Baker Mayfield,TB,QB,2,HOU,215,2,0,33,0,0,0,0,0,0,0,0,19.9
60,61,Keenan Allen,LAC,WR,1,KC,0,0,0,0,0,7,68,1,0,0,0,0,19.8
61,62,Bijan Robinson,ATL,RB,2,MIN,0,0,0,143,0,3,25,0,0,0,0,0,19.8
62,63,Jayden Daniels,WAS,QB,2,GB,200,2,0,17,0,0,0,0,0,0,0,0,19.7
63,64,Daiyan Henley,LAC,LB,2,LV,0,0,0,0,0,0,0,0,1,1,0,0,19.6
64,65,Jahmyr Gibbs,DET,RB,2,CHI,0,0,0,94,1,3,10,0,0,0,0,0,19.4
65,66,Jaxon Smith-Njigba,SEA,WR,1,SF,0,0,0,0,0,9,124,0,0,0,0,0,19.4
66,67,Trevor Lawrence,JAX,QB,2,CIN,271,3,2,4,0,0,0,0,0,0,0,0,19.2
67,68,Kenneth Walker III,SEA,RB,2,PIT,0,0,0,105,1,1,13,0,0,0,0,0,18.8
68,69,Jameson Williams,DET,WR,2,CHI,0,0,0,0,0,2,108,1,0,0,0,0,18.8
69,70,Justin Herbert,LAC,QB,2,LV,242,2,0,31,0,0,0,0,0,0,0,0,18.8
70,71,Chuba Hubbard,CAR,RB,2,ARI,0,0,0,38,0,5,39,1,0,0,0,0,18.7
71,72,Travis Etienne Jr.,JAX,RB,1,CAR,0,0,0,143,0,3,13,0,0,0,0,0,18.6
72,73,Tua Tagovailoa,MIA,QB,2,NE,315,2,1,0,0,0,0,0,0,0,0,0,18.6
73,74,Saquon Barkley,PHI,RB,1,DAL,0,0,0,60,1,4,24,0,0,0,0,0,18.4
74,75,Zach Ertz,WAS,TE,2,GB,0,0,0,0,0,6,64,1,0,0,0,0,18.4
