,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,PASSING,PASSING,PASSING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,DEFENSE,DEFENSE,DEFENSE,DEFENSE,Unnamed: 17_level_0,Unnamed: 18_level_0
,RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
0,1,Christian McCaffrey,CAR,RB,16,0,0,0,1387,15,116,1005,4,0,0,0,0,29.4,471.2
1,2,Lamar Jackson,BAL,QB,15,3127,36,6,1206,7,0,0,0,0,0,0,0,27.7,415.7
2,3,Michael Thomas,NO,WR,16,0,0,0,-9,0,149,1725,9,0,0,0,0,23.4,374.6
3,4,Dak Prescott,DAL,QB,16,4902,30,11,277,3,0,0,0,0,0,0,0,21.1,337.8
4,5,Russell Wilson,SEA,QB,16,4110,31,5,342,3,0,0,0,0,0,0,0,20.5,328.6
5,6,Deshaun Watson,HOU,QB,15,3852,26,12,413,7,1,6,1,0,0,0,0,21.4,321.0
6,7,Aaron Jones Sr.,GB,RB,16,0,0,0,1084,16,49,474,3,0,0,0,0,19.7,314.8
7,8,Ezekiel Elliott,DAL,RB,16,0,0,0,1357,12,54,420,2,0,0,0,0,19.5,311.7
8,9,Austin Ekeler,LAC,RB,16,0,0,0,557,3,92,993,8,0,0,0,0,19.3,309.0
9,10,Jameis Winston,TB,QB,16,5109,33,30,250,1,0,0,0,0,0,0,0,19.1,305.4
10,11,Derrick Henry,TEN,RB,15,0,0,0,1540,16,18,206,2,0,0,0,0,19.6,294.6
11,12,Dalvin Cook,MIN,RB,14,0,0,0,1135,13,53,519,0,0,0,0,0,20.9,292.4
12,13,Josh Allen,BUF,QB,16,3089,20,9,510,9,0,0,0,0,0,0,0,18.0,288.6
13,14,Patrick Mahomes,KC,QB,14,4031,26,5,218,2,0,0,0,0,0,0,0,20.5,287.0
14,15,Kyler Murray,ARI,QB,16,3722,20,12,544,4,0,0,0,0,0,0,0,17.8,285.3
15,16,Aaron Rodgers,GB,QB,16,4002,26,4,183,1,0,0,0,0,0,0,0,17.4,278.4
16,17,Chris Godwin Jr.,TB,WR,14,0,0,0,8,0,86,1333,9,0,0,0,0,19.7,276.1
17,18,Carson Wentz,PHI,QB,16,4039,27,7,243,1,0,0,0,0,0,0,0,17.2,275.9
18,19,Julio Jones,ATL,WR,15,0,0,0,-3,0,99,1394,6,0,0,0,0,18.3,274.1
19,20,Cooper Kupp,LAR,WR,16,0,0,0,4,0,94,1161,10,0,0,0,0,16.9,270.5
20,21,DeAndre Hopkins,HOU,WR,15,6,1,1,18,0,104,1165,7,0,0,0,0,17.9,268.5
21,22,Matt Ryan,ATL,QB,15,4466,26,14,147,1,0,0,0,0,0,0,0,17.8,267.3
