,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,PASSING,PASSING,PASSING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,DEFENSE,DEFENSE,DEFENSE,DEFENSE,Unnamed: 17_level_0,Unnamed: 18_level_0
,RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
0,1,Aaron Rodgers,GB,QB,15,4637,45,6,257,3,0,0,0,0,0,0,0,26.5,397.2
1,2,Drew Brees,NO,QB,16,5476,46,14,86,1,0,0,0,0,0,0,0,24.5,391.6
2,3,Ray Rice,BAL,RB,16,1,1,0,1362,12,76,704,3,0,0,0,0,23.3,372.6
3,4,Cam Newton,CAR,QB,16,4051,21,17,709,14,1,27,0,0,0,0,0,23.2,370.6
4,5,Tom Brady,NE,QB,16,5235,39,12,109,3,0,0,0,0,0,0,0,22.9,366.3
5,6,Calvin Johnson,DET,WR,16,0,0,0,11,0,96,1681,16,0,0,0,0,22.4,359.2
6,7,Matthew Stafford,DET,QB,16,5038,41,16,78,0,0,0,0,0,0,0,0,21.5,343.3
7,8,Wes Welker,NE,WR,16,0,0,0,30,0,122,1569,9,0,0,0,0,21.0,335.9
8,9,Rob Gronkowski,NE,TE,16,0,0,0,2,1,90,1327,17,0,0,0,0,20.7,330.9
9,10,LeSean McCoy,PHI,RB,15,0,0,0,1309,17,48,315,3,0,0,0,0,21.9,328.4
10,11,Maurice Jones-Drew,JAX,RB,16,0,0,0,1606,8,43,374,3,0,0,0,0,19.1,305.0
11,12,Arian Foster,HOU,RB,13,0,0,0,1224,10,53,617,2,0,0,0,0,23.3,303.1
12,13,Jimmy Graham,NO,TE,16,0,0,0,0,0,99,1310,11,0,0,0,0,18.4,294.0
13,14,Victor Cruz,NYG,WR,16,0,0,0,3,0,83,1545,9,0,0,0,0,18.1,289.8
14,15,Jordy Nelson,GB,WR,16,0,0,0,0,0,68,1263,15,0,0,0,0,17.8,284.3
15,16,Eli Manning,NYG,QB,16,4910,29,16,15,1,0,0,0,0,0,0,0,17.5,279.9
16,17,Roddy White,ATL,WR,16,0,0,0,0,0,100,1296,8,0,0,0,0,17.4,277.6
17,18,Tony Romo,DAL,QB,16,4184,31,10,46,1,0,0,0,0,0,0,0,17.2,276.0
18,19,Matt Ryan,ATL,QB,16,4177,29,12,84,2,0,0,0,0,0,0,0,17.1,273.5
19,20,Darren Sproles,NO,RB,16,0,0,0,603,2,86,710,7,0,0,0,0,17.0,271.3
20,21,Larry Fitzgerald,ARI,WR,16,0,0,0,0,0,80,1411,8,0,0,0,0,16.8,269.1
21,22,Steve Smith,CAR,WR,16,0,0,0,56,0,79,1394,7,0,0,0,0,16.5,264.0
22,23,Percy Harvin,MIN,WR,16,0,0,0,342,2,87,967,6,0,0,0,0,16.4,261.9
23,24,Philip Rivers,LAC,QB,16,4624,27,20,36,1,0,0,0,0,0,0,0,15.9,254.6
24,25,Marshawn Lynch,SEA,RB,15,0,0,0,1204,12,28,212,1,0,0,0,0,16.2,243.6
25,26,Mike Wallace,PIT,WR,16,0,0,0,57,0,72,1193,8,0,0,0,0,15.2,243.0
26,27,Marques Colston,NO,WR,14,0,0,0,0,0,80,1143,8,0,0,0,0,17.2,240.3
27,28,Brandon Marshall,MIA,WR,16,0,0,0,0,0,82,1227,6,0,0,0,0,14.9,238.7
28,29,Mark Sanchez,NYJ,QB,16,3474,26,18,103,6,0,0,0,0,0,0,0,14.8,237.3
29,30,Ryan Mathews,LAC,RB,14,0,0,0,1091,6,50,455,0,0,0,0,0,16.9,236.6
30,31,Michael Vick,PHI,QB,13,3303,18,14,590,1,0,0,0,0,0,0,0,17.9,233.1
31,32,Hakeem Nicks,NYG,WR,15,0,0,0,0,0,74,1160,7,0,0,0,0,15.5,232.0
32,33,Michael Turner,ATL,RB,16,0,0,0,1340,11,17,168,0,0,0,0,0,14.4,229.8
33,34,Vincent Jackson,LAC,WR,16,0,0,0,51,0,60,1106,9,0,0,0,0,14.4,229.7
34,35,Dwayne Bowe,KC,WR,16,0,0,0,12,0,81,1159,5,0,0,0,0,14.3,228.1
35,36,Chris Johnson,TEN,RB,16,0,0,0,1047,4,57,418,0,0,0,0,0,14.1,225.5
36,37,Nate Washington,TEN,WR,16,0,0,0,5,1,74,1023,7,0,0,0,0,14.1,224.8
37,38,Steven Jackson,LAR,RB,15,0,0,0,1145,5,42,333,1,0,0,0,0,14.9,223.8
38,39,Michael Bush,LV,RB,16,0,0,0,977,7,37,418,1,0,0,0,0,13.9,222.5
39,40,Ryan Fitzpatrick,BUF,QB,16,3832,24,23,208,0,0,0,0,0,0,0,0,13.9,222.1
40,41,Matt Forte,CHI,RB,12,0,0,0,997,3,52,490,1,0,0,0,0,18.4,220.7
41,42,Reggie Bush,MIA,RB,15,0,0,0,1097,6,43,296,1,0,0,0,0,14.7,220.3
42,43,Steve Johnson,BUF,WR,16,0,0,0,0,0,76,1004,7,0,0,0,0,13.7,218.4
43,44,A.J. Green,CIN,WR,15,0,0,0,53,0,65,1057,7,0,0,0,0,14.5,218.0
44,45,Ben Roethlisberger,PIT,QB,15,4077,21,14,70,0,0,0,0,0,0,0,0,14.4,216.1
45,46,Greg Jennings,GB,WR,13,0,0,0,0,0,67,949,9,0,0,0,0,16.6,215.9
46,47,Aaron Hernandez,NE,TE,14,0,0,0,45,0,79,910,7,0,0,0,0,15.3,214.5
47,48,Alex Smith,SF,QB,16,3150,17,5,179,2,0,0,0,0,0,0,0,13.1,209.9
48,49,Tony Gonzalez,ATL,TE,16,0,0,0,0,0,80,875,7,0,0,0,0,13.1,209.5
49,50,Fred Jackson,BUF,RB,10,0,0,0,934,6,39,442,0,0,0,0,0,20.9,208.6
50,51,Dez Bryant,DAL,WR,15,0,0,0,5,0,63,928,9,0,0,0,0,13.9,208.3
51,52,Adrian Peterson,MIN,RB,12,0,0,0,973,12,18,139,1,0,0,0,0,17.3,207.2
52,53,Andy Dalton,CIN,QB,16,3398,20,13,152,1,0,0,0,0,0,0,0,12.9,207.1
53,54,Laurent Robinson,DAL,WR,14,0,0,0,0,0,54,858,11,0,0,0,0,14.7,205.8
54,55,Josh Freeman,TB,QB,15,3592,16,22,238,4,0,-4,0,0,0,0,0,13.7,205.1
55,56,Mike Tolbert,LAC,RB,15,0,0,0,492,8,54,433,2,0,0,0,0,13.6,204.5
56,57,Joe Flacco,BAL,QB,16,3610,20,12,90,1,1,-8,0,0,0,0,0,12.7,203.6
57,58,Jason Witten,DAL,TE,16,0,0,0,0,0,79,942,5,0,0,0,0,12.7,203.2
58,59,Julio Jones,ATL,WR,13,0,0,0,56,0,54,959,8,0,0,0,0,15.5,201.5
59,60,Tim Tebow,DEN,QB,14,1729,12,7,666,6,0,0,0,0,0,0,0,14.3,199.8
60,61,Pierre Garcon,IND,WR,16,0,0,0,28,0,70,947,6,0,0,0,0,12.5,199.5
61,62,Brandon Lloyd,LAR,WR,15,0,0,0,0,0,70,966,5,0,0,0,0,13.1,196.6
