,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,PASSING,PASSING,PASSING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,DEFENSE,DEFENSE,DEFENSE,DEFENSE,Unnamed: 17_level_0,Unnamed: 18_level_0
,RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
0,1,Tom Brady,NE,QB,16,4806,50,8,98,2,0,0,0,0,0,0,0,24.4,390.0
1,2,Randy Moss,NE,WR,16,0,0,0,0,0,98,1493,23,0,0,0,0,24.1,385.3
2,3,Brian Westbrook,PHI,RB,15,0,0,0,1333,7,90,771,5,0,0,0,0,24.7,370.4
3,4,LaDainian Tomlinson,LAC,RB,16,17,1,0,1474,15,60,475,3,0,0,0,0,23.0,367.6
4,5,Reggie Wayne,IND,WR,16,0,0,0,4,0,104,1510,10,0,0,0,0,19.3,309.4
5,6,Terrell Owens,DAL,WR,15,0,0,0,5,0,81,1355,15,0,0,0,0,20.5,307.0
6,7,Braylon Edwards,CLE,WR,16,0,0,0,0,0,80,1289,16,0,0,0,0,18.8,300.9
7,8,TJ Houshmandzadeh,CIN,WR,16,0,0,0,14,0,112,1143,12,0,0,0,0,18.6,297.7
8,9,Tony Romo,DAL,QB,16,4211,36,19,129,2,0,0,0,0,0,0,0,18.5,295.3
9,10,Larry Fitzgerald,ARI,WR,15,0,0,0,0,0,100,1409,10,0,0,0,0,19.7,294.9
10,11,Chad Johnson,CIN,WR,16,0,0,0,47,0,93,1440,8,0,0,0,0,18.0,287.7
11,12,Marques Colston,NO,WR,16,0,0,0,0,0,98,1202,11,0,0,0,0,17.6,282.2
12,13,Wes Welker,NE,WR,16,0,0,0,34,0,112,1175,8,0,0,0,0,17.6,280.9
13,14,Brandon Marshall,DEN,WR,16,0,0,0,57,0,102,1325,7,0,0,0,0,17.5,280.2
14,15,Joseph Addai,IND,RB,15,0,0,0,1072,12,41,364,3,0,0,0,0,18.4,276.6
15,16,Peyton Manning,IND,QB,16,4040,31,14,-5,3,0,0,0,0,0,0,0,17.2,275.1
16,17,Clinton Portis,WAS,RB,16,15,1,0,1262,11,47,389,0,0,0,0,0,17.0,272.7
17,18,Ben Roethlisberger,PIT,QB,15,3154,32,11,204,2,0,0,0,0,0,0,0,17.4,260.6
18,19,Drew Brees,NO,QB,16,4423,28,18,52,1,2,10,0,0,0,0,0,16.2,259.1
19,20,Torry Holt,LAR,WR,16,0,0,0,0,0,93,1189,7,0,0,0,0,15.9,253.9
20,21,Derek Anderson,CLE,QB,16,3787,29,19,70,3,0,0,0,0,0,0,0,15.8,252.5
21,22,Adrian Peterson,MIN,RB,14,0,0,0,1341,12,19,268,1,0,0,0,0,18.0,251.9
22,23,Jason Witten,DAL,TE,16,0,0,0,0,0,96,1145,7,0,0,0,0,15.7,250.5
23,24,Jamal Lewis,CLE,RB,15,0,0,0,1304,9,30,248,2,0,0,0,0,16.5,247.2
24,25,Tony Gonzalez,KC,TE,16,0,0,0,0,0,99,1172,5,0,0,0,0,15.4,246.2
25,26,Matt Hasselbeck,SEA,QB,16,3966,28,12,89,0,0,0,0,0,0,0,0,15.3,245.5
26,27,Plaxico Burress,NYG,WR,16,0,0,0,0,0,70,1025,12,0,0,0,0,15.3,244.5
27,28,Brett Favre,GB,QB,16,4155,28,15,12,0,0,0,0,0,0,0,0,15.2,243.4
28,29,Bobby Engram,SEA,WR,16,0,0,0,0,0,94,1147,6,0,0,0,0,15.2,242.7
29,30,Marion Barber,DAL,RB,16,0,0,0,975,10,44,282,2,0,0,0,1,15.1,241.7
30,31,Derrick Mason,BAL,WR,16,0,0,0,0,0,103,1087,5,0,0,0,0,15.0,239.7
31,32,Frank Gore,SF,RB,15,0,0,0,1102,5,53,436,1,0,0,0,0,15.8,236.8
32,33,Kevin Curtis,PHI,WR,16,0,0,0,0,2,77,1110,6,0,0,0,0,14.8,236.0
33,34,Roddy White,ATL,WR,16,0,0,0,-2,0,83,1202,6,0,0,1,0,14.7,235.0
34,35,Steve Smith,CAR,WR,15,0,0,0,66,0,87,1002,7,0,0,0,0,15.6,233.8
35,36,Earnest Graham,TB,RB,15,0,0,0,898,10,49,324,0,0,0,0,0,15.3,229.2
36,37,Willis McGahee,BAL,RB,15,0,0,0,1207,7,43,231,1,0,0,0,0,15.3,228.8
37,38,Carson Palmer,CIN,QB,16,4131,26,20,10,0,0,0,0,0,0,0,0,14.3,228.2
38,39,Antonio Gates,LAC,TE,16,0,0,0,0,0,75,984,9,0,0,0,0,14.2,227.4
39,40,Kellen Winslow,CLE,TE,16,0,0,0,0,0,82,1106,5,0,0,0,0,13.9,222.6
40,41,Greg Jennings,GB,WR,13,0,0,0,0,0,53,920,12,0,0,0,0,16.7,217.0
41,42,Jay Cutler,DEN,QB,16,3497,20,14,205,1,0,0,0,0,0,0,0,13.1,210.4
42,43,Anquan Boldin,ARI,WR,12,0,0,0,14,0,71,853,9,0,0,0,0,17.5,209.7
43,44,Jerricho Cotchery,NYJ,WR,15,0,0,0,38,0,82,1130,2,0,0,0,0,13.9,208.8
44,45,Reggie Bush,NO,RB,12,0,0,0,581,4,73,417,2,0,0,0,0,17.4,208.8
