,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,PASSING,PASSING,PASSING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,DEFENSE,DEFENSE,DEFENSE,DEFENSE,Unnamed: 17_level_0,Unnamed: 18_level_0
,RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
0,1,LaDainian Tomlinson,LAC,RB,16,20,2,0,1815,28,56,508,3,0,0,0,0,30.1,481.1
1,2,Steven Jackson,LAR,RB,16,0,0,0,1528,13,90,806,3,0,0,0,0,26.0,415.4
2,3,Larry Johnson,KC,RB,16,0,0,0,1789,17,41,410,2,0,0,0,0,23.2,370.9
3,4,Brian Westbrook,PHI,RB,15,0,0,0,1217,7,77,699,4,0,0,0,0,22.0,330.6
4,5,Frank Gore,SF,RB,16,0,0,0,1695,8,61,485,1,0,0,0,0,20.2,323.0
5,6,Peyton Manning,IND,QB,16,4397,31,9,36,4,0,0,0,0,0,0,0,19.3,309.5
6,7,Marvin Harrison,IND,WR,16,0,0,0,0,0,95,1366,12,0,0,0,0,18.9,301.6
7,8,Tiki Barber,NYG,RB,16,0,0,0,1662,5,58,465,0,0,0,0,0,18.7,298.7
8,9,Willie Parker,PIT,RB,16,0,0,0,1494,13,31,222,3,0,0,0,0,18.0,288.6
9,10,Terrell Owens,DAL,WR,16,0,0,0,0,0,85,1180,13,0,0,0,0,17.7,283.0
10,11,Reggie Wayne,IND,WR,16,0,0,0,0,0,86,1310,9,0,0,0,0,17.1,273.0
11,12,Maurice Jones-Drew,JAX,RB,16,0,0,0,941,13,46,436,2,0,0,0,0,17.0,271.7
12,13,Donald Driver,GB,WR,16,0,0,0,16,0,92,1295,8,0,0,0,0,16.9,271.1
13,14,Torry Holt,LAR,WR,16,0,0,0,0,0,93,1188,10,0,0,0,0,16.9,269.8
14,15,Chad Johnson,CIN,WR,16,0,0,0,24,0,87,1369,7,0,0,0,0,16.6,266.3
15,16,Michael Vick,ATL,QB,16,2474,20,13,1039,2,1,1,0,0,0,0,1,16.5,264.0
16,17,Reggie Bush,NO,RB,16,0,0,1,565,6,88,742,2,0,0,0,0,16.3,260.7
17,18,Drew Brees,NO,QB,16,4418,26,11,32,0,0,0,0,0,0,0,0,16.2,259.9
18,19,Steve Smith,CAR,WR,14,0,0,0,61,1,83,1166,8,0,0,0,0,18.6,259.7
19,20,Lee Evans,BUF,WR,16,0,0,0,0,0,82,1292,8,0,0,0,0,16.1,257.2
20,21,TJ Houshmandzadeh,CIN,WR,14,0,0,0,6,0,90,1081,9,0,0,0,0,18.1,252.7
21,22,Marc Bulger,LAR,QB,16,4301,24,8,44,0,0,0,0,0,0,0,0,15.8,252.4
22,23,Roy Williams,DET,WR,16,0,0,0,2,0,82,1310,7,0,0,0,0,15.7,251.2
23,24,Andre Johnson,HOU,WR,16,0,0,0,14,0,103,1147,5,0,0,0,0,15.6,249.1
24,25,Javon Walker,DEN,WR,16,0,0,0,123,1,69,1084,8,0,0,0,0,15.2,243.7
25,26,Mike Furrey,DET,WR,16,0,0,0,0,0,98,1086,6,0,0,0,0,15.0,240.6
26,27,Laveranues Coles,NYJ,WR,16,0,0,0,14,0,91,1098,6,0,0,0,0,14.9,238.2
27,28,Carson Palmer,CIN,QB,16,4035,28,13,37,0,0,0,0,0,0,0,0,14.8,237.1
28,29,Ladell Betts,WAS,RB,16,0,0,0,1154,4,53,445,1,0,0,0,0,14.8,236.9
29,30,Rudi Johnson,CIN,RB,16,0,0,0,1309,12,23,124,0,0,0,0,0,14.6,234.3
30,31,Anquan Boldin,ARI,WR,16,0,0,0,28,0,83,1203,4,0,0,0,0,14.4,230.1
31,32,Joseph Addai,IND,RB,16,0,0,0,1081,7,40,325,1,0,0,0,0,14.0,224.6
32,33,Chester Taylor,MIN,RB,15,0,0,0,1216,6,42,288,0,0,0,0,0,14.8,222.4
33,34,Marques Colston,NO,WR,14,0,0,0,0,0,70,1038,8,0,0,0,0,15.8,221.8
34,35,Ahman Green,GB,RB,14,0,0,0,1059,5,46,373,1,0,0,0,0,15.8,221.2
35,36,Kevin Jones,DET,RB,12,0,0,0,689,6,61,520,2,0,0,0,0,18.3,219.9
36,37,Plaxico Burress,NYG,WR,15,0,0,0,0,0,63,988,10,0,0,0,0,14.7,219.8
37,38,Deuce McAllister,NO,RB,15,0,0,0,1057,11,30,198,0,0,0,0,0,14.6,219.5
38,39,Tom Brady,NE,QB,16,3529,24,12,102,0,0,0,0,0,0,0,0,13.7,219.4
39,40,D. Jackson,SEA,WR,13,0,0,0,0,0,63,956,10,0,0,0,0,16.8,218.6
40,41,Jon Kitna,DET,QB,16,4208,21,22,156,2,0,0,0,0,0,0,0,13.6,217.9
41,42,Antonio Gates,LAC,TE,16,0,0,0,0,0,71,924,9,0,0,0,0,13.6,217.4
42,43,Jerricho Cotchery,NYJ,WR,16,0,0,0,25,0,82,961,6,0,0,0,0,13.5,216.6
43,44,T. Glenn,DAL,WR,15,0,0,0,11,0,70,1047,6,0,0,0,0,14.1,211.8
44,45,Joey Galloway,TB,WR,16,0,0,0,9,0,62,1057,7,0,0,0,0,13.2,210.6
45,46,Hines Ward,PIT,WR,14,0,0,0,30,0,74,975,6,0,0,0,0,14.9,208.5
46,47,Philip Rivers,LAC,QB,16,3388,22,9,49,0,0,0,0,0,0,0,0,13.0,208.4
47,48,Thomas Jones,CHI,RB,16,-4,0,0,1210,6,36,154,0,0,0,0,0,12.9,206.2
48,49,Edgerrin James,ARI,RB,16,0,0,0,1159,6,38,217,0,0,0,0,0,12.8,205.6
49,50,Marion Barber,DAL,RB,16,0,0,0,654,14,23,196,2,0,0,0,0,12.8,204.0
50,51,Isaac Bruce,LAR,WR,16,0,0,0,0,0,74,1098,3,0,0,0,0,12.7,203.8
51,52,Vince Young,TEN,QB,15,2199,12,13,552,7,0,0,0,0,0,0,0,13.5,203.2
52,53,Donovan McNabb,PHI,QB,10,2647,18,6,212,3,0,0,0,0,0,0,0,20.1,201.1
53,54,Larry Fitzgerald,ARI,WR,13,0,0,0,0,0,69,946,6,0,0,0,0,15.4,199.6
54,55,Tony Gonzalez,KC,TE,15,0,0,0,0,0,73,900,5,0,0,0,0,13.0,195.0
55,56,Kellen Winslow,CLE,TE,16,0,0,0,0,0,89,875,3,0,0,0,0,12.2,194.5
56,57,Fred Taylor,JAX,RB,15,0,0,0,1146,5,23,242,1,0,0,0,0,12.9,193.8
57,58,Jamal Lewis,BAL,RB,16,0,0,0,1132,9,18,115,0,0,0,0,0,12.0,192.7
58,59,Brett Favre,GB,QB,16,3885,18,18,29,1,0,0,0,0,0,0,0,11.9,190.3
59,60,Travis Henry,TEN,RB,14,0,0,0,1211,7,18,78,0,0,0,0,0,13.5,188.9
60,61,Mark Clayton,BAL,WR,16,0,0,0,-30,0,67,939,5,0,0,1,0,11.7,187.9
61,62,Eli Manning,NYG,QB,16,3244,24,18,21,0,0,0,0,0,0,0,0,11.7,187.9
62,63,Ronnie Brown,MIA,RB,13,0,0,0,1008,5,33,276,0,0,0,0,0,14.4,187.4
63,64,Braylon Edwards,CLE,WR,16,0,0,0,7,0,61,884,6,0,0,0,0,11.6,186.1
64,65,Todd Heap,BAL,TE,16,0,0,0,0,0,73,765,6,0,0,0,0,11.6,185.5
65,66,Corey Dillon,NE,RB,16,0,0,0,812,13,15,147,0,0,0,0,0,11.6,184.9
66,67,Ben Roethlisberger,PIT,QB,15,3513,18,23,98,2,0,0,0,0,0,0,0,12.3,184.3
67,68,Reggie Brown,PHI,WR,16,0,0,0,24,1,46,816,8,0,0,0,0,11.5,184.0
68,69,Warrick Dunn,ATL,RB,16,0,0,0,1140,4,22,170,1,0,0,0,0,11.4,183.0
69,70,Alge Crumpler,ATL,TE,16,0,0,0,0,0,56,780,8,0,0,0,0,11.4,182.0
70,71,Santana Moss,WAS,WR,14,0,0,0,82,0,55,790,6,0,0,0,0,12.9,180.2
71,72,Kevin Johnson,CAR,WR,16,0,0,1,4,1,70,815,4,0,0,0,0,11.1,177.9
72,73,Steve McNair,BAL,QB,16,3050,16,12,119,1,0,0,0,0,0,0,0,11.1,177.9
73,74,DeMeco Ryans,HOU,LB,16,0,0,0,0,0,0,0,0,4,1,1,1,11.0,176.1
