,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,PASSING,PASSING,PASSING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,DEFENSE,DEFENSE,DEFENSE,DEFENSE,Unnamed: 17_level_0,Unnamed: 18_level_0
,RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
0,1,Lamar Jackson,BAL,QB,17,4172,41,4,915,4,0,0,0,0,0,0,0,25.3,430.4
1,2,Ja'Marr Chase,CIN,WR,17,0,0,0,32,0,127,1708,17,0,0,0,0,23.7,403.0
2,3,Josh Allen,BUF,QB,17,3731,28,6,531,12,0,7,1,0,0,0,0,22.3,379.0
3,4,Joe Burrow,CIN,QB,17,4918,43,9,201,2,0,0,0,0,0,0,0,21.9,372.8
4,5,Baker Mayfield,TB,QB,17,4500,41,16,378,3,0,0,0,0,0,0,0,21.5,365.8
5,6,Jahmyr Gibbs,DET,RB,17,0,0,0,1412,16,52,517,4,0,0,0,0,21.3,362.9
6,7,Jayden Daniels,WAS,QB,17,3568,25,9,891,6,0,0,0,0,0,0,0,20.9,355.8
7,8,Saquon Barkley,PHI,RB,16,0,0,0,2005,13,33,278,2,0,0,0,0,22.2,355.3
8,9,Bijan Robinson,ATL,RB,17,0,0,0,1456,14,61,431,1,0,0,0,0,20.1,341.7
9,10,Derrick Henry,BAL,RB,17,0,0,0,1921,16,19,193,2,0,0,0,0,19.8,336.4
10,11,Jared Goff,DET,QB,17,4629,37,12,56,0,1,7,1,0,0,0,0,19.1,324.5
11,12,Justin Jefferson,MIN,WR,17,22,0,0,3,0,103,1533,10,0,0,0,0,18.7,317.5
12,13,Bo Nix,DEN,QB,17,3775,29,12,430,4,1,2,1,0,0,0,0,18.7,317.2
13,14,Amon-Ra St. Brown,DET,WR,17,7,1,0,6,0,115,1263,12,0,0,0,0,18.6,316.2
14,15,Jalen Hurts,PHI,QB,15,2903,18,5,630,14,0,0,0,0,0,0,0,21.0,315.1
15,16,Sam Darnold,MIN,QB,17,4319,35,12,212,1,0,0,0,0,0,0,0,18.1,308.0
16,17,De'Von Achane,MIA,RB,17,0,0,0,907,6,78,592,6,0,0,0,0,17.6,299.9
17,18,Kyler Murray,ARI,QB,17,3851,21,11,572,5,0,0,0,0,0,0,0,17.5,297.2
18,19,Josh Jacobs,GB,RB,17,0,0,0,1329,15,36,342,1,0,0,0,0,17.2,293.1
19,20,Justin Herbert,LAC,QB,17,3870,23,3,306,2,0,0,0,0,0,0,0,16.8,285.4
20,21,Brian Thomas Jr.,JAX,WR,17,0,0,0,48,0,87,1282,10,0,0,0,0,16.7,284.0
21,22,Patrick Mahomes,KC,QB,16,3928,26,11,307,2,1,2,0,0,0,0,0,17.7,283.0
22,23,Drake London,ATL,WR,17,0,0,0,-3,0,100,1271,9,0,0,0,0,16.5,280.8
23,24,Malik Nabers,NYG,WR,15,0,0,0,2,0,109,1204,7,0,0,0,0,18.2,273.6
24,25,Kyren Williams,LAR,RB,16,0,0,0,1299,14,34,182,2,0,0,0,0,17.0,272.1
25,26,Terry McLaurin,WAS,WR,17,0,0,0,2,0,82,1096,13,0,0,0,0,15.8,267.8
26,27,Brock Purdy,SF,QB,15,3864,20,12,323,5,0,0,0,0,0,0,0,17.8,266.9
27,28,James Cook,BUF,RB,16,0,0,0,1009,16,32,258,2,0,0,0,0,16.7,266.7
28,29,Geno Smith,SEA,QB,17,4320,21,15,272,2,0,0,0,0,0,0,0,15.6,266.0
29,30,Alvin Kamara,NO,RB,14,0,0,0,950,6,68,543,2,0,0,0,0,18.9,265.3
30,31,CeeDee Lamb,DAL,WR,15,0,0,0,70,0,101,1194,6,0,0,0,0,17.6,263.4
31,32,Brock Bowers,LV,TE,17,0,0,0,13,0,112,1194,5,0,0,0,0,15.5,262.7
32,33,Aaron Rodgers,NYJ,QB,17,3897,28,11,107,0,0,0,0,0,0,0,0,15.1,256.6
33,34,Chase Brown,CIN,RB,16,0,0,0,990,7,54,360,4,0,0,0,0,15.9,255.0
34,35,Caleb Williams,CHI,QB,17,3541,20,6,489,0,0,0,0,0,0,0,0,15.0,254.5
35,36,James Conner,ARI,RB,16,0,0,0,1094,8,47,414,1,0,0,1,0,15.9,253.8
36,37,Jaxon Smith-Njigba,SEA,WR,17,35,0,0,26,0,100,1130,6,0,0,0,0,14.9,253.0
37,38,Garrett Wilson,NYJ,WR,17,0,0,0,5,0,101,1104,7,0,0,0,0,14.8,251.9
38,39,Trey McBride,ARI,TE,16,0,0,0,2,2,111,1146,2,0,0,0,0,15.6,249.8
39,40,Jonathan Taylor,IND,RB,14,0,0,0,1431,11,18,136,1,0,0,0,1,17.6,246.7
40,41,Bucky Irving,TB,RB,17,0,0,0,1122,8,47,392,0,0,0,0,1,14.4,244.4
41,42,Chuba Hubbard,CAR,RB,15,0,0,0,1195,10,43,171,1,0,0,0,0,16.1,241.6
