,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,PASSING,PASSING,PASSING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,DEFENSE,DEFENSE,DEFENSE,DEFENSE,Unnamed: 18_level_0
,RK,NAME,TEAM,POS,WK,OPP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS
0,1,Tre Tucker,LV,WR,3,WAS,0,0,0,4,0,8,145,3,0,0,0,0,40.9
1,2,Amon-Ra St. Brown,DET,WR,2,CHI,0,0,0,7,0,9,115,3,0,0,0,0,39.2
2,3,Malik Nabers,NYG,WR,2,DAL,0,0,0,0,0,9,167,2,0,0,0,0,37.7
3,4,Ja'Marr Chase,CIN,WR,2,JAX,0,0,0,0,0,14,165,1,0,0,0,0,36.5
4,5,Jared Goff,DET,QB,2,CHI,334,5,0,6,0,0,0,0,0,0,0,0,34.0
5,6,Jonathan Taylor,IND,RB,3,TEN,0,0,0,102,3,3,16,0,0,0,0,0,32.8
6,7,Rome Odunze,CHI,WR,2,DET,0,0,0,0,0,7,128,2,0,0,0,0,31.8
7,8,Russell Wilson,NYG,QB,2,DAL,450,3,1,23,0,0,0,0,0,0,0,0,30.3
8,9,Jonathan Taylor,IND,RB,2,DEN,0,0,0,165,0,2,50,1,0,0,0,0,29.5
9,10,David Montgomery,DET,RB,3,BAL,0,0,0,151,2,1,13,0,0,0,0,0,29.4
10,11,Caleb Williams,CHI,QB,3,DAL,298,4,0,12,0,0,0,0,0,0,0,0,29.1
11,12,Jalen Hurts,PHI,QB,3,LAR,226,3,0,40,1,0,0,0,0,0,0,0,29.0
12,13,Isaiah Rodgers,MIN,CB,3,CIN,0,0,0,0,0,0,0,0,0,1,2,1,29.0
13,14,Hunter Henry,NE,TE,3,PIT,0,0,0,0,0,8,90,2,0,0,0,0,29.0
14,15,Wan'Dale Robinson,NYG,WR,2,DAL,0,0,0,0,0,8,142,1,0,0,0,0,28.2
15,16,Puka Nacua,LAR,WR,2,TEN,0,0,0,45,1,8,91,0,0,0,0,0,27.6
16,17,Mark Andrews,BAL,TE,3,DET,0,0,0,0,0,6,91,2,0,0,0,0,27.1
17,18,Lamar Jackson,BAL,QB,3,DET,288,3,0,35,0,0,0,0,0,0,0,0,27.0
18,19,Jahmyr Gibbs,DET,RB,3,BAL,0,0,0,67,2,5,32,0,0,0,0,0,26.9
19,20,James Cook,BUF,RB,2,NYJ,0,0,0,132,2,1,3,0,0,0,0,0,26.5
20,21,Lamar Jackson,BAL,QB,2,CLE,225,4,0,13,0,0,0,0,0,0,0,0,26.3
21,22,Drake Maye,NE,QB,2,MIA,230,2,0,31,1,0,0,0,0,0,0,0,26.3
22,23,De'Von Achane,MIA,RB,2,NE,0,0,0,30,0,8,92,1,0,0,0,0,26.2
23,24,Geno Smith,LV,QB,3,WAS,289,3,0,5,0,0,0,0,0,0,0,0,26.1
24,25,Roquan Smith,BAL,ILB,2,CLE,0,0,0,0,0,0,0,0,0,0,0,1,25.5
25,26,Javonte Williams,DAL,RB,2,NYG,0,0,0,97,1,6,33,0,0,0,0,0,25.0
26,27,Omarion Hampton,LAC,RB,3,DEN,0,0,0,70,1,6,59,0,0,0,0,0,24.9
27,28,Tucker Kraft,GB,TE,2,WAS,0,0,0,0,0,6,124,1,0,0,0,0,24.4
28,29,Garrett Wilson,NYJ,WR,3,TB,0,0,0,0,0,10,84,1,0,0,0,0,24.4
29,30,Cam Skattebo,NYG,RB,3,KC,0,0,0,60,1,6,61,0,0,0,0,0,24.1
30,31,Christian McCaffrey,SF,RB,3,ARI,0,0,0,52,0,10,88,0,0,0,0,0,24.0
31,32,Troy Franklin,DEN,WR,2,IND,0,0,0,11,0,8,89,1,0,0,0,0,24.0
32,33,Courtland Sutton,DEN,WR,3,LAC,0,0,0,0,0,6,118,1,0,0,0,0,23.8
33,34,Hunter Renfrow,CAR,WR,2,ARI,0,0,0,0,0,7,48,2,0,0,0,0,23.8
34,35,Jordan Mason,MIN,RB,3,CIN,0,0,0,116,2,0,0,0,0,0,0,0,23.6
35,36,Josh Allen,BUF,QB,3,MIA,213,3,0,25,0,0,0,0,0,0,0,0,23.0
36,37,A.J. Brown,PHI,WR,3,LAR,0,0,0,0,0,6,109,1,0,0,0,0,22.9
37,38,Daniel Jones,IND,QB,2,DEN,316,1,0,2,1,0,0,0,0,0,0,0,22.8
38,39,Puka Nacua,LAR,WR,3,PHI,0,0,0,6,0,11,112,0,0,0,0,0,22.8
39,40,Christian McCaffrey,SF,RB,2,NO,0,0,0,55,0,6,52,1,0,0,0,0,22.7
40,41,Davante Adams,LAR,WR,2,TEN,0,0,0,0,0,6,106,1,0,0,0,0,22.6
41,42,Nico Collins,HOU,WR,3,JAX,0,0,0,0,0,8,104,1,0,0,0,0,22.4
42,43,Dak Prescott,DAL,QB,2,NYG,361,2,1,17,0,0,0,0,0,0,0,0,22.1
43,44,Patrick Mahomes,KC,QB,2,PHI,187,1,1,66,1,0,0,0,0,0,0,0,22.1
44,45,Mac Jones,SF,QB,2,NO,279,3,0,6,0,0,0,0,0,0,0,0,21.8
45,46,Spencer Rattler,NO,QB,2,SF,207,3,0,14,0,0,0,0,0,0,0,0,21.7
46,47,Bryce Young,CAR,QB,2,ARI,328,3,1,2,0,0,0,0,0,0,0,0,21.3
47,48,Rhamondre Stevenson,NE,RB,2,MIA,0,0,0,54,0,5,88,0,0,0,0,0,21.2
48,49,Jake Ferguson,DAL,TE,3,CHI,0,0,0,0,0,13,82,0,0,0,0,0,21.2
49,50,Chase McLaughlin,TB,K,3,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,21.0
50,51,Jordan Love,GB,QB,2,WAS,292,2,0,12,0,0,0,0,0,0,0,0,20.9
51,52,James Cook,BUF,RB,3,MIA,0,0,0,108,1,3,10,0,0,0,0,0,20.8
52,53,Amon-Ra St. Brown,DET,WR,3,BAL,0,0,0,0,0,7,77,1,0,0,0,0,20.7
53,54,Jaxon Smith-Njigba,SEA,WR,3,NO,0,0,0,0,0,5,96,1,0,0,0,0,20.6
54,55,George Karlaftis,KC,DE,3,NYG,0,0,0,0,0,0,0,0,1,0,0,0,20.4
55,56,Marcus Mariota,WAS,QB,3,LV,207,1,0,40,1,0,0,0,0,0,0,0,20.3
56,57,Bo Nix,DEN,QB,2,IND,206,3,1,20,0,0,0,0,0,0,0,0,20.2
57,58,CeeDee Lamb,DAL,WR,2,NYG,0,0,0,0,0,9,112,0,0,0,0,0,20.2
58,59,DeVonta Smith,PHI,WR,3,LAR,0,0,0,0,0,8,60,1,0,0,0,0,20.0
59,60,Brandon Aubrey,DAL,K,2,NYG,0,0,0,0,0,0,0,0,0,0,0,0,20.0
60,61,Jauan Jennings,SF,WR,2,NO,0,0,0,0,0,5,89,1,0,0,0,0,19.9
61,62,Baker Mayfield,TB,QB,2,HOU,215,2,0,33,0,0,0,0,0,0,0,0,19.9
62,63,Luther Burden III,CHI,WR,3,DAL,0,0,0,7,0,3,101,1,0,0,0,0,19.8
63,64,Bijan Robinson,ATL,RB,2,MIN,0,0,0,143,0,3,25,0,0,0,0,0,19.8
64,65,Jayden Daniels,WAS,QB,2,GB,200,2,0,17,0,0,0,0,0,0,0,0,19.7
65,66,Ricky Pearsall,SF,WR,3,ARI,0,0,0,0,0,8,117,0,0,0,0,0,19.7
66,67,Daiyan Henley,LAC,LB,2,LV,0,0,0,0,0,0,0,0,1,1,0,0,19.6
67,68,Keenan Allen,LAC,WR,3,DEN,0,0,0,0,0,7,65,1,0,0,0,0,19.5
68,69,Jahmyr Gibbs,DET,RB,2,CHI,0,0,0,94,1,3,10,0,0,0,0,0,19.4
69,70,Michael Pittman Jr.,IND,WR,3,TEN,0,0,0,0,0,6,73,1,0,0,0,0,19.3
70,71,Bobby Wagner,WAS,ILB,3,LV,0,0,0,0,0,0,0,0,2,0,0,0,19.3
71,72,Trevor Lawrence,JAX,QB,2,CIN,271,3,2,4,0,0,0,0,0,0,0,0,19.2
72,73,Drake Maye,NE,QB,3,PIT,268,2,1,45,0,0,0,0,0,0,0,0,19.2
73,74,Kyren Williams,LAR,RB,3,PHI,0,0,0,94,0,2,18,1,0,0,0,0,19.2
74,75,Kenneth Walker III,SEA,RB,2,PIT,0,0,0,105,1,1,13,0,0,0,0,0,18.8
75,76,Jameson Williams,DET,WR,2,CHI,0,0,0,0,0,2,108,1,0,0,0,0,18.8
76,77,Justin Herbert,LAC,QB,2,LV,242,2,0,31,0,0,0,0,0,0,0,0,18.8
77,78,Chuba Hubbard,CAR,RB,2,ARI,0,0,0,38,0,5,39,1,0,0,0,0,18.7
78,79,Derwin James Jr.,LAC,S,3,DEN,0,0,0,0,0,0,0,0,1,0,0,0,18.6
79,80,Tua Tagovailoa,MIA,QB,2,NE,315,2,1,0,0,0,0,0,0,0,0,0,18.6
80,81,Tremaine Edmunds,CHI,LB,3,DAL,0,0,0,0,0,0,0,0,0,2,0,0,18.5
81,82,T.J. Watt,PIT,LB,3,NE,0,0,0,0,0,0,0,0,2,0,1,1,18.5
82,83,Zach Ertz,WAS,TE,2,GB,0,0,0,0,0,6,64,1,0,0,0,0,18.4
83,84,Jaxon Smith-Njigba,SEA,WR,2,PIT,0,0,0,0,0,8,103,0,0,0,0,0,18.3
84,85,Tyquan Thornton,KC,WR,3,NYG,0,0,0,0,0,5,71,1,0,0,0,0,18.1
85,86,Bucky Irving,TB,RB,2,HOU,0,0,0,71,0,6,50,0,0,0,0,0,18.1
86,87,Kenneth Walker III,SEA,RB,3,NO,0,0,0,38,2,1,12,0,0,0,0,0,18.0
87,88,Parker Romo,ATL,K,2,MIN,0,0,0,0,0,0,0,0,0,0,0,0,18.0
88,89,George Pickens,DAL,WR,3,CHI,0,0,0,0,0,5,68,1,0,0,0,0,17.8
89,90,George Pickens,DAL,WR,2,NYG,0,0,0,0,0,5,68,1,0,0,0,0,17.8
90,91,Jaylen Waddle,MIA,WR,2,NE,0,0,0,0,0,5,68,1,0,0,0,0,17.8
91,92,Jake Browning,CIN,QB,2,JAX,241,2,3,1,1,0,0,0,0,0,0,0,17.7
92,93,Baker Mayfield,TB,QB,3,NYJ,233,1,0,44,0,0,0,0,0,0,0,0,17.7
93,94,Dyami Brown,JAX,WR,2,CIN,0,0,0,9,0,5,57,1,0,0,0,0,17.6
94,95,Dalton Kincaid,BUF,TE,3,MIA,0,0,0,0,0,5,66,1,0,0,0,0,17.6
95,96,Deebo Samuel Sr.,WAS,WR,2,GB,0,0,0,0,0,7,44,1,0,0,0,0,17.4
96,97,Jaylen Warren,PIT,RB,2,SEA,0,0,0,48,0,4,86,0,0,0,0,0,17.4
97,98,Saquon Barkley,PHI,RB,2,KC,0,0,0,88,1,2,6,0,0,0,0,0,17.4
98,99,Matthew Stafford,LAR,QB,2,TEN,298,2,1,-6,0,0,0,0,0,0,0,0,17.3
99,100,Byron Young,LAR,OLB,2,TEN,0,0,0,0,0,0,0,0,2,0,1,0,17.3
