,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,PASSING,PASSING,PASSING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,DEFENSE,DEFENSE,DEFENSE,DEFENSE,Unnamed: 17_level_0,Unnamed: 18_level_0
,RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
0,1,David Johnson,ARI,RB,16,0,0,0,1239,16,80,879,4,0,0,0,0,25.5,407.8
1,2,Aaron Rodgers,GB,QB,16,4428,40,7,369,4,0,0,0,0,0,0,0,23.8,380.0
2,3,Matt Ryan,ATL,QB,16,4944,38,7,117,0,0,0,0,0,0,0,0,21.7,347.5
3,4,Drew Brees,NO,QB,16,5208,37,15,20,2,0,0,0,0,0,0,0,20.8,332.3
4,5,Ezekiel Elliott,DAL,RB,15,0,0,0,1631,15,32,363,1,0,0,0,0,21.7,325.4
5,6,Le'Veon Bell,PIT,RB,12,0,0,0,1268,7,75,616,2,0,0,0,0,26.4,317.4
6,7,Andrew Luck,IND,QB,15,4240,31,13,341,2,0,0,0,0,0,0,0,20.5,307.7
7,8,Antonio Brown,PIT,WR,15,0,0,0,9,0,106,1284,12,0,0,0,0,20.5,307.3
8,9,Jordy Nelson,GB,WR,16,0,0,0,0,0,97,1257,14,0,0,0,0,19.0,304.7
9,10,Mike Evans,TB,WR,16,0,0,0,0,0,96,1321,12,0,0,0,0,19.0,304.1
10,11,Kirk Cousins,WAS,QB,16,4917,25,12,96,4,0,0,0,0,0,0,0,18.8,300.3
11,12,LeSean McCoy,BUF,RB,15,0,0,0,1267,13,51,356,1,0,0,0,0,20.0,299.3
12,13,Odell Beckham Jr.,NYG,WR,16,0,0,0,9,0,101,1367,10,0,0,0,0,18.5,296.6
13,14,DeMarco Murray,TEN,RB,16,10,1,0,1287,9,53,377,3,0,0,0,0,18.4,293.8
14,15,Dak Prescott,DAL,QB,16,3667,23,4,282,6,0,0,0,0,0,0,0,17.9,286.9
15,16,Devonta Freeman,ATL,RB,16,0,0,0,1079,11,54,462,2,0,0,0,0,17.8,284.1
16,17,Matthew Stafford,DET,QB,16,4327,24,10,207,2,0,0,0,0,0,0,0,17.5,279.8
17,18,T.Y. Hilton,IND,WR,16,0,0,0,0,0,91,1448,6,0,0,0,0,17.1,273.8
18,19,Blake Bortles,JAX,QB,16,3905,23,16,359,3,1,20,1,0,0,0,0,16.9,271.1
19,20,Tyrod Taylor,BUF,QB,15,3023,17,6,580,6,0,0,0,0,0,0,0,18.1,270.9
20,21,Russell Wilson,SEA,QB,16,4219,21,11,259,1,2,14,1,0,0,0,0,16.9,270.1
21,22,Derek Carr,LV,QB,15,3933,28,6,69,0,0,0,0,0,0,0,0,17.9,268.2
22,23,Andy Dalton,CIN,QB,16,4206,18,8,184,4,0,0,0,0,0,0,0,16.3,260.6
23,24,Marcus Mariota,TEN,QB,15,3426,26,9,349,2,0,0,0,0,0,0,0,17.3,259.9
24,25,Julio Jones,ATL,WR,14,0,0,0,0,0,83,1409,6,0,0,0,0,18.6,259.9
25,26,Philip Rivers,LAC,QB,16,4386,33,21,35,0,0,0,0,0,0,0,0,16.2,258.9
26,27,Tom Brady,NE,QB,12,3554,28,2,64,0,0,0,0,0,0,0,0,21.5,258.6
27,28,Jameis Winston,TB,QB,16,4090,28,18,168,1,0,0,0,0,0,0,0,16.0,256.4
28,29,Michael Thomas,NO,WR,15,0,0,0,0,0,92,1137,9,0,0,0,0,17.0,255.7
29,30,Cam Newton,CAR,QB,15,3509,19,14,359,5,0,0,0,0,0,0,0,17.0,254.3
30,31,Doug Baldwin,SEA,WR,16,15,1,0,2,0,94,1128,7,0,0,0,0,15.8,253.6
31,32,Ben Roethlisberger,PIT,QB,14,3819,29,13,14,1,0,0,0,0,0,0,0,18.0,252.2
32,33,Melvin Gordon III,LAC,RB,13,0,0,0,997,10,41,419,2,0,0,0,0,19.3,250.6
33,34,Davante Adams,GB,WR,16,0,0,0,0,0,75,997,12,0,0,0,0,15.4,246.7
34,35,Brandin Cooks,NO,WR,16,0,0,0,30,0,78,1173,8,0,0,0,0,15.4,246.3
35,36,Larry Fitzgerald,ARI,WR,16,0,0,0,5,0,107,1023,6,0,0,0,0,15.2,243.8
36,37,Carson Palmer,ARI,QB,15,4233,26,14,38,0,0,0,0,0,0,0,2,16.2,243.1
37,38,Joe Flacco,BAL,QB,16,4317,20,15,58,2,0,0,0,0,0,0,0,15.2,242.5
38,39,Mark Ingram II,NO,RB,16,0,0,0,1043,6,46,319,4,0,0,0,0,15.1,242.2
39,40,Michael Crabtree,LV,WR,16,0,0,0,0,0,89,1003,8,0,0,0,0,15.0,239.3
40,41,LeGarrette Blount,NE,RB,16,0,0,0,1161,18,7,38,0,0,0,0,0,14.6,232.9
41,42,Jarvis Landry,MIA,WR,16,0,0,0,17,0,94,1136,4,0,0,0,0,14.5,231.3
42,43,Amari Cooper,LV,WR,16,0,0,0,0,0,82,1149,5,0,0,0,0,14.4,230.9
43,44,Julian Edelman,NE,WR,16,0,0,0,57,0,98,1106,3,0,0,0,0,14.4,230.3
44,45,Jordan Howard,CHI,RB,15,0,0,0,1313,6,29,298,1,0,0,0,0,15.3,230.1
45,46,Demaryius Thomas,DEN,WR,16,0,0,0,0,0,90,1083,5,0,0,0,0,14.1,226.3
46,47,Alex Smith,KC,QB,15,3502,15,8,134,5,1,3,0,0,0,0,0,15.0,224.8
47,48,Eli Manning,NYG,QB,16,4027,26,16,-9,0,0,0,0,0,0,0,0,14.0,224.2
48,49,Golden Tate,DET,WR,16,0,0,0,4,0,91,1077,4,0,0,0,0,13.9,223.1
49,50,Travis Kelce,KC,TE,16,0,0,0,-5,0,85,1125,4,0,0,0,0,13.9,223.0
50,51,Sam Bradford,MIN,QB,15,3877,20,5,53,0,1,5,0,0,0,0,0,14.8,221.9
51,52,Tyrell Williams,LAC,WR,16,0,0,0,0,0,69,1059,7,0,0,0,0,13.6,216.9
52,53,Jay Ajayi,MIA,RB,15,0,0,0,1272,8,27,151,0,0,0,0,0,14.4,215.3
53,54,Frank Gore,IND,RB,16,0,0,0,1026,4,38,277,4,0,0,0,0,13.4,214.3
54,55,Carson Wentz,PHI,QB,16,3782,16,14,150,2,1,7,0,0,0,0,0,13.4,214.0
55,56,Terrelle Pryor,CLE,WR,16,41,0,0,21,1,77,1007,4,0,0,0,0,13.3,213.4
56,57,Emmanuel Sanders,DEN,WR,16,0,0,0,4,0,79,1032,5,0,0,0,0,13.3,212.6
57,58,Rishard Matthews,TEN,WR,16,0,0,0,0,0,65,945,9,0,0,0,0,13.2,211.5
58,59,Kyle Rudolph,MIN,TE,16,0,0,0,0,0,83,840,7,0,0,0,0,13.1,209.0
59,60,Latavius Murray,LV,RB,14,0,0,0,788,12,33,264,0,0,0,0,0,14.9,208.2
60,61,Greg Olsen,CAR,TE,16,0,0,0,0,0,80,1073,3,0,0,0,0,13.0,207.3
61,62,Isaiah Crowell,CLE,RB,16,0,0,0,952,7,40,319,0,0,0,0,0,12.8,205.1
62,63,Mike Wallace,BAL,WR,16,0,0,0,31,0,72,1017,4,0,0,0,0,12.7,202.8
63,64,Pierre Garcon,WAS,WR,16,0,0,0,0,0,79,1041,3,0,0,0,0,12.6,201.1
64,65,Colin Kaepernick,SF,QB,12,2241,16,4,468,2,0,0,0,0,0,0,0,16.7,200.4
65,66,Allen Robinson II,JAX,WR,16,0,0,0,0,0,73,883,6,0,0,0,0,12.5,199.3
