,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,PASSING,PASSING,PASSING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,DEFENSE,DEFENSE,DEFENSE,DEFENSE,Unnamed: 17_level_0,Unnamed: 18_level_0
,RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
0,1,Marshall Faulk,LAR,RB,14,0,0,0,1382,12,83,765,9,0,0,0,0,30.3,423.7
1,2,Marvin Harrison,IND,WR,16,0,0,0,3,0,109,1524,15,0,0,0,0,22.0,351.7
2,3,Priest Holmes,KC,RB,16,0,0,0,1555,8,62,614,2,0,0,0,0,21.1,336.9
3,4,Terrell Owens,SF,WR,16,0,0,0,21,0,93,1412,16,0,0,1,0,20.8,332.3
4,5,Ahman Green,GB,RB,16,0,0,0,1387,9,62,594,2,0,0,0,0,20.1,322.1
5,6,Rod Smith,DEN,WR,15,0,0,0,27,0,113,1343,11,0,0,1,0,21.2,318.0
6,7,D. Boston,ARI,WR,16,0,0,0,35,0,98,1598,8,0,0,0,0,19.3,309.3
7,8,Shaun Alexander,SEA,RB,16,0,0,0,1318,14,44,343,2,0,0,0,0,19.0,304.1
8,9,Jeff Garcia,SF,QB,16,3538,32,12,254,5,0,0,0,0,0,0,0,18.9,302.9
9,10,Curtis Martin,NYJ,RB,16,18,1,0,1513,10,53,320,0,0,0,0,0,18.8,301.0
10,11,Kurt Warner,LAR,QB,16,4830,36,22,60,0,0,0,0,0,0,0,0,18.6,297.2
11,12,Jimmy Smith,JAX,WR,16,0,0,0,-3,0,112,1373,8,0,0,0,0,18.6,297.0
12,13,Rich Gannon,LV,QB,16,3828,27,9,231,2,0,0,0,0,0,0,0,17.1,274.2
13,14,Ricky Williams,NO,RB,16,0,0,0,1245,6,60,511,1,0,0,1,0,17.1,273.6
14,15,LaDainian Tomlinson,LAC,RB,16,0,0,0,1236,10,59,367,0,0,0,0,0,17.1,273.3
15,16,Randy Moss,MIN,WR,16,29,0,0,38,0,82,1233,10,0,0,0,0,16.9,270.3
16,17,Donovan McNabb,PHI,QB,16,3233,25,12,482,2,0,0,0,0,0,0,0,16.6,265.5
17,18,Steve McNair,TEN,QB,15,3350,21,12,414,5,0,0,0,0,0,0,0,17.7,265.4
18,19,Peyton Manning,IND,QB,16,4131,26,23,157,4,0,0,0,0,0,0,1,16.6,264.9
19,20,Joe Horn,NO,WR,16,0,0,0,4,0,83,1265,9,0,0,0,0,16.5,263.9
20,21,T. Brown,LV,WR,16,0,0,0,39,0,91,1165,9,0,0,0,0,16.5,263.4
21,22,Corey Dillon,CIN,RB,16,0,0,1,1315,10,34,228,3,0,0,0,0,16.4,262.3
22,23,M. Booker,CHI,WR,16,34,1,0,8,0,100,1071,8,0,0,0,0,16.3,261.3
23,24,T. Brown,NE,WR,16,0,0,0,91,0,101,1199,5,0,0,0,0,16.2,260.0
24,25,Torry Holt,LAR,WR,16,0,0,0,0,0,81,1363,7,0,0,0,0,16.2,259.3
25,26,Aaron Brooks,NO,QB,16,3832,26,22,358,1,0,0,0,0,0,0,0,16.1,257.1
26,27,Jerry Rice,LV,WR,16,0,0,0,0,0,83,1139,9,0,0,0,0,15.7,250.9
27,28,Brett Favre,GB,QB,16,3722,30,14,56,1,0,0,0,0,0,0,0,15.7,250.5
28,29,K. Johnson,CLE,WR,16,0,0,0,0,0,84,1097,9,0,0,0,0,15.5,247.7
29,30,Tiki Barber,NYG,RB,14,0,0,0,865,4,72,577,0,0,0,0,0,17.3,242.2
30,31,Keenan McCardell,JAX,WR,16,0,0,0,0,0,93,1110,6,0,0,0,0,15.1,242.0
31,32,Derrick Mason,TEN,WR,15,0,0,0,0,0,73,1128,9,0,0,0,0,16.0,239.8
32,33,Kevin Johnson,TB,WR,15,0,0,0,0,0,106,1266,1,0,0,0,0,15.9,238.6
33,34,Kordell Stewart,PIT,QB,16,3109,14,11,537,5,0,0,0,0,0,0,0,14.9,238.1
34,35,C. Conway,LAC,WR,16,0,0,0,116,1,71,1125,6,0,0,0,0,14.7,235.1
35,36,Jay Fiedler,MIA,QB,16,3290,20,19,321,4,0,0,0,0,0,0,0,14.4,229.7
36,37,A. Smith,NE,RB,16,0,0,0,1157,12,19,192,1,0,0,0,0,14.2,227.9
37,38,Charlie Garner,LV,RB,16,0,0,0,839,1,72,578,2,0,0,0,0,14.2,227.7
38,39,D. Jackson,SEA,WR,16,0,0,0,9,0,70,1081,8,0,0,0,0,14.2,227.0
39,40,Hines Ward,PIT,WR,16,0,0,0,83,0,94,1003,4,0,0,0,0,14.2,226.6
40,41,Garrison Hearst,SF,RB,16,0,0,0,1206,4,41,347,1,0,0,0,0,14.1,226.3
41,42,Q. Ismail,BAL,WR,16,0,0,0,0,0,74,1059,7,0,0,0,0,13.9,221.9
42,43,Stephen Davis,WAS,RB,16,0,0,0,1432,5,28,205,0,0,0,0,0,13.9,221.7
43,44,W. Jackson,NO,WR,16,0,0,0,0,0,81,1046,5,0,0,0,0,13.6,217.6
44,45,J. Morton,DET,WR,16,0,0,0,6,0,77,1154,4,0,0,0,0,13.6,217.0
45,46,Dominic Rhodes,IND,RB,15,0,0,0,1104,9,34,224,0,0,0,0,0,14.5,216.8
46,47,Mark Brunell,JAX,QB,15,3309,19,13,224,1,0,0,0,0,0,0,0,14.2,212.8
47,48,Isaac Bruce,LAR,WR,16,0,0,0,23,0,64,1106,6,0,0,0,0,13.2,210.9
48,49,Duce Staley,PHI,RB,13,0,0,0,604,2,63,626,2,0,0,0,0,16.2,210.0
49,50,Daunte Culpepper,MIN,QB,11,2612,14,13,416,5,1,0,0,0,0,0,0,19.0,209.1
50,51,Korey Toomer,NYG,WR,16,0,0,0,8,0,72,1054,5,0,0,0,0,13.0,208.2
51,52,Jake Plummer,ARI,QB,16,3653,18,14,163,0,0,0,0,0,0,0,0,12.9,206.4
52,53,Tony Gonzalez,KC,TE,16,40,0,0,9,0,73,917,6,0,0,0,0,12.8,205.2
53,54,Warrick Dunn,TB,RB,13,0,0,0,447,3,68,557,3,0,0,0,0,15.7,204.4
54,55,Plaxico Burress,PIT,WR,16,0,0,0,0,0,66,1008,6,0,0,0,0,12.7,202.8
55,56,Kerry Collins,NYG,QB,16,3764,19,16,73,0,1,-2,0,0,0,0,0,12.7,202.7
56,57,Anthony Thomas,CHI,RB,14,0,0,0,1183,7,22,178,0,0,0,0,0,14.4,202.1
57,58,B. Schroeder,GB,WR,14,0,0,0,6,0,53,918,9,0,0,0,0,14.2,199.4
58,59,Laveranues Coles,NYJ,WR,16,0,0,0,108,0,59,868,7,0,0,0,0,12.4,198.6
59,60,Brad Johnson,TB,QB,16,3406,13,11,120,3,0,0,0,0,0,0,0,12.4,198.2
60,61,J. Thrash,PHI,WR,15,0,0,0,57,0,63,833,8,0,0,0,0,13.2,198.0
61,62,L. Smith,MIA,RB,16,0,0,0,968,6,30,234,2,0,0,0,0,12.3,196.2
62,63,P. Price,BUF,WR,16,0,0,0,97,0,55,895,7,0,0,0,0,12.3,196.2
63,64,Mike Alstott,TB,RB,16,0,0,0,680,10,35,231,1,0,0,0,0,12.3,196.1
64,65,C. Carter,MIN,WR,16,0,0,0,4,0,73,871,6,0,0,0,0,12.2,194.5
65,66,Brian Griese,DEN,QB,15,2827,23,19,173,1,1,-6,0,0,0,0,0,12.9,192.8
66,67,Trent Green,KC,QB,16,3783,17,24,158,0,1,1,0,0,0,0,0,12.0,192.2
67,68,Eric Moulds,BUF,WR,16,0,0,0,3,0,67,904,5,0,0,0,0,11.7,187.7
68,69,S. Mack,JAX,RB,16,0,0,0,877,9,23,165,1,0,0,0,0,11.7,187.2
69,70,Doug Flutie,LAC,QB,16,3464,15,18,192,1,0,0,0,0,0,0,0,11.6,185.8
70,71,Michael Pittman,ARI,RB,15,0,0,0,846,5,42,264,0,0,0,0,0,12.2,183.0
71,72,L. Centers,BUF,FB,16,0,0,0,160,2,80,620,2,0,0,0,0,11.4,182.0
72,73,Eddie George,TEN,RB,16,0,0,0,939,5,37,279,0,0,0,0,0,11.3,180.8
73,74,K. Dyson,TEN,WR,16,0,0,0,0,0,54,825,7,0,0,0,0,11.3,180.5
74,75,Ray Lewis,BAL,LB,16,0,0,0,0,0,0,0,0,4,3,1,1,11.1,177.6
75,76,Chris Chambers,MIA,WR,16,0,0,0,-11,0,48,883,7,0,0,0,0,11.1,177.2
76,77,Chris Weinke,CAR,QB,15,2931,11,19,128,6,0,0,0,0,0,0,0,11.5,172.0
77,78,A. Freeman,GB,WR,16,0,0,0,-5,0,52,818,6,0,0,0,0,10.7,171.3
78,79,M. Pollard,IND,RB,16,0,0,0,0,0,47,739,8,0,0,0,0,10.6,168.9
79,80,Jamel White,CLE,RB,16,0,0,0,443,5,44,418,1,0,0,0,0,10.5,168.1
80,81,Tom Brady,NE,QB,15,2843,18,12,43,0,1,23,0,0,0,0,0,11.2,167.3
81,82,D. Patten,NE,WR,16,60,1,1,67,1,51,749,4,0,0,0,0,10.4,167.0
82,83,S. Sharpe,BAL,TE,16,0,0,0,0,0,73,811,2,0,0,0,0,10.4,166.1
83,84,Brian Urlacher,CHI,LB,16,0,0,0,0,0,1,27,1,6,3,2,2,10.4,165.9
84,85,J. Graham,LAC,WR,14,0,0,0,0,0,52,811,5,0,0,0,0,11.7,163.1
85,86,J. Miller,CLE,LB,16,0,0,0,0,0,0,0,0,13,1,4,0,10.1,161.2
86,87,Chris Chandler,ATL,QB,14,2847,16,14,84,0,0,0,0,0,0,0,0,11.4,160.3
87,88,Tim Couch,CLE,QB,16,3040,17,21,128,0,1,-10,0,0,0,0,0,9.9,158.4
88,89,Zack Thomas,MIA,LB,15,0,0,0,0,0,0,0,0,3,2,2,0,10.5,157.7
89,90,R. McKinnon,ARI,LB,16,0,0,0,0,0,0,0,0,2,1,1,2,9.8,157.5
90,91,I. Hilliard,NYG,WR,14,0,0,0,21,0,52,659,6,0,0,0,0,11.1,156.0
91,92,Michael Strahan,NYG,DE,16,0,0,0,0,0,0,0,0,23,0,5,1,9.7,155.6
92,93,J. Stokes,SF,WR,16,0,0,0,0,0,54,585,7,0,0,0,0,9.7,154.5
93,94,M. Smith,ATL,RB,16,0,0,0,760,5,19,230,1,0,0,0,0,9.6,154.0
94,95,James Farrior,NYJ,LB,16,0,0,0,0,0,0,0,0,1,2,3,0,9.6,153.8
95,96,M. Barrow,NYG,LB,16,0,0,0,0,0,0,0,0,6,0,4,2,9.5,152.4
96,97,F. Wycheck,TEN,TE,16,21,0,0,1,0,60,672,4,0,0,0,0,9.5,152.1
97,98,R. Ismail,DAL,WR,14,0,0,0,31,0,53,834,2,0,0,0,0,10.8,151.5
98,99,D. Scott,CIN,WR,16,0,0,0,0,0,57,819,2,0,0,0,0,9.4,150.9
99,100,Jerome Bettis,PIT,RB,11,32,1,0,1072,4,8,48,0,0,0,0,0,13.6,149.3
