,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,PASSING,PASSING,PASSING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,DEFENSE,DEFENSE,DEFENSE,DEFENSE,Unnamed: 17_level_0,Unnamed: 18_level_0
,RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
0,1,Chris Johnson,TEN,RB,16,0,0,0,2006,14,50,503,2,0,0,0,0,24.6,392.9
1,2,Aaron Rodgers,GB,QB,16,4434,30,7,316,5,0,0,0,0,0,0,0,21.4,343.0
2,3,Ray Rice,BAL,RB,16,0,0,0,1339,7,78,702,1,0,0,0,0,20.3,324.1
3,4,Maurice Jones-Drew,JAX,RB,16,0,0,0,1391,15,53,374,1,0,0,0,0,20.2,323.5
4,5,Adrian Peterson,MIN,RB,16,0,0,0,1383,18,43,436,0,0,0,0,0,20.1,320.9
5,6,Andre Johnson,HOU,WR,16,0,0,0,10,0,101,1569,9,0,0,0,0,19.7,314.9
6,7,Drew Brees,NO,QB,15,4388,34,11,33,2,1,-4,0,0,0,0,0,19.6,293.4
7,8,Randy Moss,NE,WR,16,0,0,0,0,0,83,1264,13,0,1,0,0,18.0,287.4
8,9,Wes Welker,NE,WR,14,0,0,0,36,0,123,1348,4,0,0,0,1,20.4,285.4
9,10,Reggie Wayne,IND,WR,16,0,0,1,0,0,100,1264,10,0,0,0,0,17.8,284.4
10,11,Larry Fitzgerald,ARI,WR,16,0,0,0,0,0,97,1092,13,0,0,0,0,17.8,284.2
11,12,Brett Favre,MIN,QB,16,4202,33,7,7,0,1,-2,0,0,0,0,0,17.7,283.6
12,13,Matt Schaub,HOU,QB,16,4770,29,15,57,0,0,0,0,0,0,0,0,17.5,280.5
13,14,Miles Austin,DAL,WR,16,0,0,0,-2,0,81,1320,11,0,0,0,0,17.4,278.8
14,15,Peyton Manning,IND,QB,16,4500,33,16,-13,0,0,0,0,0,0,0,0,17.4,278.7
15,16,Frank Gore,SF,RB,14,0,0,0,1120,10,52,406,3,0,0,0,0,19.9,278.6
16,17,Brandon Marshall,DEN,WR,15,0,0,0,39,0,101,1120,10,0,0,0,0,18.5,276.9
17,18,Tony Romo,DAL,QB,16,4483,26,9,105,1,0,0,0,0,0,0,0,17.1,273.8
18,19,Dallas Clark,IND,TE,16,0,0,0,11,0,100,1106,10,0,0,0,0,17.0,271.7
19,20,Steve Smith,NYG,WR,16,0,0,0,0,0,107,1220,7,0,0,0,0,16.9,271.0
20,21,Tom Brady,NE,QB,16,4398,28,13,44,1,0,0,0,0,0,0,0,16.9,270.3
21,22,Philip Rivers,LAC,QB,16,4254,28,9,50,1,0,0,0,0,0,0,0,16.8,269.2
22,23,Ben Roethlisberger,PIT,QB,15,4328,26,12,82,2,0,0,0,0,0,0,0,17.8,267.3
23,24,Roddy White,ATL,WR,16,0,0,0,2,0,85,1153,11,0,0,1,0,16.7,266.5
24,25,Sidney Rice,MIN,WR,16,0,0,0,0,0,83,1312,8,0,0,0,0,16.3,260.2
25,26,Vernon Davis,SF,TE,16,0,0,0,0,0,78,965,13,0,0,0,0,15.8,252.5
26,27,DeSean Jackson,PHI,WR,15,0,0,0,137,1,62,1156,9,0,0,0,0,16.6,249.3
27,28,Joseph Addai,IND,RB,15,22,1,0,828,10,51,336,3,0,0,0,0,16.6,248.3
28,29,Ricky Williams,MIA,RB,16,0,0,1,1121,11,35,264,2,0,0,0,0,15.5,247.5
29,30,Hines Ward,PIT,WR,16,0,0,0,0,0,95,1167,6,0,0,0,0,15.4,245.7
30,31,Steven Jackson,LAR,RB,15,0,0,0,1416,4,51,322,0,0,0,0,0,16.3,244.8
31,32,Antonio Gates,LAC,TE,16,0,0,0,0,0,79,1157,8,0,0,0,0,15.2,242.7
32,33,Thomas Jones,NYJ,RB,16,0,0,0,1402,14,10,58,0,0,0,0,0,15.0,240.0
33,34,Vincent Jackson,LAC,WR,15,0,0,0,11,0,68,1167,9,0,0,0,0,16.0,239.8
34,35,Donovan McNabb,PHI,QB,14,3553,22,10,140,2,1,1,0,0,0,0,0,16.8,235.2
35,36,Ryan Grant,GB,RB,16,0,0,0,1253,11,25,197,0,0,0,0,0,14.6,234.0
36,37,Santonio Holmes,PIT,WR,16,0,0,1,6,0,79,1248,5,0,0,0,0,14.5,232.4
37,38,Eli Manning,NYG,QB,16,4021,27,14,65,0,0,0,0,0,0,0,0,14.5,231.3
38,39,Chad Johnson,CIN,WR,16,0,0,0,32,0,72,1047,9,0,0,0,0,14.4,229.9
39,40,Marques Colston,NO,WR,16,0,0,0,6,0,70,1074,9,0,0,0,0,14.2,228.0
40,41,Jay Cutler,CHI,QB,16,3666,27,26,173,1,0,0,0,0,0,0,0,14.2,227.9
41,42,Jamaal Charles,KC,RB,15,0,0,0,1120,7,40,297,1,0,0,0,0,15.0,225.7
42,43,Brent Celek,PHI,TE,16,0,0,0,0,0,76,971,8,0,0,0,0,13.8,221.1
43,44,David Garrard,JAX,QB,16,3597,15,10,323,3,0,0,0,0,0,0,0,13.8,220.2
44,45,Jason Campbell,WAS,QB,16,3618,20,15,236,1,0,0,0,0,0,0,0,13.6,218.3
45,46,Derrick Mason,BAL,WR,16,0,0,0,2,0,73,1028,7,0,0,0,0,13.6,218.0
46,47,Matt Forte,CHI,RB,16,0,0,0,929,4,57,471,0,0,0,0,0,13.6,217.0
47,48,Kyle Orton,DEN,QB,16,3802,21,12,71,0,0,0,0,0,0,0,0,13.4,215.2
48,49,Kurt Warner,ARI,QB,15,3753,26,14,10,0,0,0,0,0,0,0,0,14.3,215.1
49,50,Fred Jackson,BUF,RB,16,27,1,0,1062,2,46,371,2,0,0,0,0,13.4,214.4
50,51,Anquan Boldin,ARI,WR,15,0,0,0,12,1,84,1024,4,0,0,0,0,14.2,213.6
51,52,Donald Driver,GB,WR,16,0,0,0,13,0,70,1061,6,0,0,0,0,13.2,211.4
52,53,Steve Smith,CAR,WR,15,0,0,0,22,0,65,982,7,0,0,0,0,14.0,209.4
53,54,Carson Palmer,CIN,QB,16,3094,21,13,93,3,0,0,0,0,0,0,0,13.1,209.1
54,55,Jason Witten,DAL,TE,16,0,0,0,0,0,94,1030,2,0,0,0,0,13.1,209.0
55,56,Greg Jennings,GB,WR,16,0,0,0,0,0,68,1113,4,0,0,0,0,13.0,207.3
56,57,Jonathan Stewart,CAR,RB,16,0,0,0,1133,10,18,139,1,0,0,0,0,12.9,207.2
57,58,Joe Flacco,BAL,QB,16,3613,21,12,56,0,0,0,0,0,0,0,0,12.9,206.1
58,59,Tony Gonzalez,ATL,TE,16,0,0,0,0,0,83,867,6,0,0,0,0,12.9,205.7
59,60,Tim Hightower,ARI,RB,16,0,0,0,598,8,63,428,0,0,0,0,0,12.8,205.6
