,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,PASSING,PASSING,PASSING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,DEFENSE,DEFENSE,DEFENSE,DEFENSE,Unnamed: 17_level_0,Unnamed: 18_level_0
,RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
0,1,Antonio Brown,PIT,WR,16,20,1,0,13,0,129,1698,13,0,0,0,0,23.8,380.9
1,2,Le'Veon Bell,PIT,RB,16,0,0,0,1361,8,83,854,3,0,0,0,0,23.2,370.5
2,3,Aaron Rodgers,GB,QB,16,4381,38,5,269,2,0,0,0,0,0,0,0,22.1,354.1
3,4,DeMarco Murray,DAL,RB,16,0,0,0,1845,13,57,416,0,0,0,0,0,21.9,351.1
4,5,Andrew Luck,IND,QB,16,4761,40,16,263,3,0,0,0,0,0,0,0,21.9,350.7
5,6,Matt Forte,CHI,RB,16,0,0,0,1038,6,102,808,4,0,0,0,0,21.7,346.6
6,7,Demaryius Thomas,DEN,WR,16,0,0,0,0,0,111,1619,11,0,0,0,0,21.3,340.9
7,8,Russell Wilson,SEA,QB,16,3475,20,7,849,6,1,17,0,0,0,0,0,20.5,328.6
8,9,Jordy Nelson,GB,WR,16,0,0,0,0,0,98,1519,13,0,0,0,0,20.5,327.9
9,10,Dez Bryant,DAL,WR,16,0,0,0,0,0,88,1320,16,0,0,0,0,19.8,316.0
10,11,Peyton Manning,DEN,QB,16,4727,39,15,-24,0,0,0,0,0,0,0,0,19.5,312.7
11,12,Ben Roethlisberger,PIT,QB,16,4952,32,9,27,0,0,-6,0,0,0,0,0,19.1,306.2
12,13,Drew Brees,NO,QB,16,4952,33,17,68,1,1,1,0,0,0,0,0,19.0,304.0
13,14,Marshawn Lynch,SEA,RB,16,0,0,0,1306,13,37,367,4,0,0,0,0,18.9,302.3
14,15,Emmanuel Sanders,DEN,WR,16,0,0,0,44,0,101,1404,9,0,0,0,0,18.9,301.8
15,16,Julio Jones,ATL,WR,15,0,0,0,1,0,104,1593,6,0,0,0,0,19.8,297.4
16,17,Odell Beckham Jr.,NYG,WR,12,0,0,0,35,0,91,1305,12,0,0,0,0,24.6,295.0
17,18,Randall Cobb,GB,WR,16,0,0,0,37,0,91,1287,12,0,0,0,0,18.3,293.4
18,19,Matt Ryan,ATL,QB,16,4694,28,14,145,0,0,0,0,0,0,0,0,17.8,284.3
19,20,Ryan Tannehill,MIA,QB,16,4045,27,12,311,1,1,-4,0,0,0,0,0,17.5,279.5
20,21,Jeremy Maclin,PHI,WR,16,0,0,0,0,0,86,1329,10,0,0,0,0,17.4,278.9
21,22,Tom Brady,NE,QB,16,4109,33,9,57,0,0,0,0,0,0,0,0,17.4,278.1
22,23,J.J. Watt,HOU,DE,16,0,0,0,0,0,3,4,3,21,1,4,5,17.4,277.9
23,24,Arian Foster,HOU,RB,13,5,1,0,1246,8,38,327,5,0,0,0,0,21.0,273.5
24,25,Eddie Lacy,GB,RB,16,0,0,0,1139,9,42,427,4,0,0,0,0,17.0,272.6
25,26,Eli Manning,NYG,QB,16,4410,30,14,31,1,0,0,0,0,0,0,0,16.8,269.5
26,27,Rob Gronkowski,NE,TE,15,0,0,0,0,0,82,1124,12,0,0,0,0,17.8,266.4
27,28,Tony Romo,DAL,QB,15,3705,34,9,61,0,0,0,0,0,0,0,0,17.8,266.3
28,29,Philip Rivers,LAC,QB,16,4286,31,18,104,0,0,0,0,0,0,0,0,16.6,265.8
29,30,Joe Flacco,BAL,QB,16,3986,27,12,70,2,0,0,0,0,0,0,0,16.4,262.4
30,31,Alshon Jeffery,CHI,WR,16,0,0,0,33,0,85,1133,10,0,0,0,0,16.4,261.6
31,32,Golden Tate,DET,WR,16,0,0,0,30,0,99,1331,4,0,0,0,0,16.2,259.1
32,33,T.Y. Hilton,IND,WR,15,0,0,0,20,0,82,1345,7,0,0,1,0,17.2,258.5
33,34,Jay Cutler,CHI,QB,15,3812,28,18,191,2,0,0,0,0,0,0,0,17.0,255.6
34,35,Matthew Stafford,DET,QB,16,4257,22,12,93,2,0,0,0,0,0,0,0,15.7,251.6
35,36,Colin Kaepernick,SF,QB,16,3369,19,10,641,1,0,0,0,0,0,0,0,15.7,250.9
36,37,Jamaal Charles,KC,RB,15,0,0,0,1033,9,40,291,5,0,0,0,0,16.7,250.4
37,38,Cam Newton,CAR,QB,14,3127,18,12,539,5,0,0,0,0,0,0,0,17.8,249.0
38,39,Justin Forsett,BAL,RB,16,0,0,0,1266,8,44,263,0,0,0,0,0,15.4,246.9
39,40,Mike Evans,TB,WR,15,0,0,0,0,0,68,1051,12,0,0,0,0,16.3,245.1
40,41,DeAndre Hopkins,HOU,WR,16,0,0,0,0,0,76,1210,6,0,0,0,1,14.4,231.0
41,42,Jimmy Graham,NO,TE,16,0,0,0,0,0,85,889,10,0,0,1,0,14.4,229.9
42,43,Calvin Johnson,DET,WR,13,0,0,0,0,0,71,1077,8,0,0,0,0,17.4,226.7
43,44,Kelvin Benjamin,CAR,WR,16,0,0,0,0,0,73,1008,9,0,0,0,0,14.1,225.8
44,45,Andy Dalton,CIN,QB,16,3398,19,17,169,4,1,18,1,0,0,0,0,14.1,225.6
45,46,Lamar Miller,MIA,RB,16,0,0,0,1099,8,38,275,1,0,0,0,0,14.0,223.4
46,47,Antonio Gates,LAC,TE,16,0,0,0,0,0,69,821,12,0,0,0,0,13.9,223.1
47,48,Julian Edelman,NE,WR,14,0,0,0,94,0,92,972,4,0,0,0,0,15.9,222.6
48,49,Martellus Bennett,CHI,TE,16,0,0,0,0,0,90,916,6,0,0,0,0,13.8,221.6
49,50,Greg Olsen,CAR,TE,16,0,0,0,0,0,84,1008,6,0,0,0,0,13.8,220.8
50,51,Alex Smith,KC,QB,15,3265,18,6,254,1,0,0,0,0,0,0,0,14.7,220.0
51,52,Anquan Boldin,SF,WR,16,0,0,0,4,0,83,1062,5,0,0,0,0,13.7,219.6
52,53,Steve Smith,BAL,WR,16,0,0,0,0,0,79,1065,6,0,0,0,0,13.7,219.5
53,54,Mike Wallace,MIA,WR,16,0,0,0,16,0,67,862,10,0,0,0,0,13.3,212.8
54,55,Roddy White,ATL,WR,14,0,0,0,0,0,80,921,7,0,0,0,0,15.2,212.1
55,56,CJ Anderson,DEN,RB,15,0,0,0,849,8,34,324,2,0,0,0,0,14.1,211.3
56,57,Jeremy Hill,CIN,RB,16,0,0,0,1124,9,27,215,0,0,0,0,0,13.2,210.9
57,58,Brandon LaFell,NE,WR,16,0,0,0,13,0,74,953,7,0,0,0,0,13.2,210.6
58,59,DeSean Jackson,WAS,WR,15,0,0,0,7,0,56,1169,6,0,0,0,0,14.0,209.6
59,60,A.J. Green,CIN,WR,13,0,0,0,2,0,69,1041,6,0,0,0,0,15.8,205.3
60,61,Jordan Matthews,PHI,WR,16,0,0,0,0,0,67,872,8,0,0,0,0,12.6,202.2
