,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,PASSING,PASSING,PASSING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,DEFENSE,DEFENSE,DEFENSE,DEFENSE,Unnamed: 17_level_0,Unnamed: 18_level_0
,RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
0,1,Josh Allen,BUF,QB,16,4544,37,10,421,8,1,12,1,0,0,0,0,24.8,396.1
1,2,Aaron Rodgers,GB,QB,16,4299,48,5,149,3,1,-6,0,0,0,0,0,24.0,383.3
2,3,Kyler Murray,ARI,QB,16,3971,26,12,819,11,0,0,0,0,0,0,0,23.7,378.7
3,4,Alvin Kamara,NO,RB,15,0,0,0,932,16,83,756,5,0,0,0,0,25.2,377.8
4,5,Patrick Mahomes,KC,QB,15,4740,38,6,308,2,0,0,0,0,0,0,0,25.0,374.4
5,6,Deshaun Watson,HOU,QB,16,4823,33,7,444,3,0,0,0,0,0,0,0,23.1,369.3
6,7,Russell Wilson,SEA,QB,16,4212,40,13,513,2,0,0,0,0,0,0,0,22.5,359.8
7,8,Davante Adams,GB,WR,14,0,0,0,0,0,115,1374,18,0,0,0,0,25.6,358.4
8,9,Ryan Tannehill,TEN,QB,16,3819,33,7,266,7,1,0,0,0,0,0,0,21.5,344.4
9,10,Tom Brady,TB,QB,16,4633,40,12,6,3,0,0,0,0,0,0,0,21.1,337.9
10,11,Dalvin Cook,MIN,RB,14,0,0,0,1557,16,44,361,1,0,0,0,0,24.1,337.8
11,12,Derrick Henry,TEN,RB,16,0,0,0,2027,17,19,114,0,0,0,0,0,20.8,333.1
12,13,Justin Herbert,LAC,QB,15,4336,31,10,234,5,0,0,0,0,0,0,0,22.2,332.8
13,14,Lamar Jackson,BAL,QB,15,2757,26,9,1005,7,0,0,0,0,0,0,0,22.2,332.8
14,15,Tyreek Hill,KC,WR,15,0,0,0,123,2,87,1276,15,0,0,1,0,21.9,328.9
15,16,Stefon Diggs,BUF,WR,16,0,0,0,1,0,127,1535,8,0,0,0,0,20.5,328.6
16,17,Travis Kelce,KC,TE,15,4,0,0,0,0,105,1416,11,0,0,0,0,20.9,312.8
17,18,Kirk Cousins,MIN,QB,16,4265,35,13,156,1,0,0,0,0,0,0,0,19.1,306.2
