,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,PASSING,PASSING,PASSING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,DEFENSE,DEFENSE,DEFENSE,DEFENSE,Unnamed: 17_level_0,Unnamed: 18_level_0
,RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
0,1,Arian Foster,HOU,RB,16,0,0,0,1616,16,66,604,2,0,0,1,0,24.5,392.0
1,2,Roddy White,ATL,WR,16,0,0,0,3,0,115,1389,10,0,0,1,0,19.8,316.2
2,3,Michael Vick,PHI,QB,12,3018,21,6,676,9,0,0,0,0,0,0,0,25.9,310.3
3,4,Aaron Rodgers,GB,QB,15,3922,28,11,356,4,0,0,0,0,0,0,0,20.3,304.5
4,5,Tom Brady,NE,QB,16,3900,36,4,30,1,0,0,0,0,0,0,0,18.7,299.0
5,6,LeSean McCoy,PHI,RB,15,0,0,0,1080,7,78,592,2,0,0,0,0,19.8,297.2
6,7,Peyton Hillis,CLE,RB,16,13,0,0,1177,11,61,477,2,0,0,0,0,18.4,294.9
7,8,Brandon Lloyd,DEN,WR,16,0,0,0,-18,0,77,1448,11,0,0,0,0,17.9,286.0
8,9,Peyton Manning,IND,QB,16,4700,33,17,18,0,0,0,0,0,0,0,0,17.9,285.8
9,10,Jamaal Charles,KC,RB,16,0,0,0,1467,5,45,468,3,0,0,0,0,17.7,282.5
10,11,Philip Rivers,LAC,QB,16,4710,30,13,52,0,0,0,0,0,0,0,0,17.6,281.6
11,12,Reggie Wayne,IND,WR,16,0,0,0,0,0,111,1355,6,0,0,0,0,17.5,280.5
12,13,Dwayne Bowe,KC,WR,16,0,0,0,4,0,72,1162,15,0,0,0,0,17.4,278.6
13,14,Ray Rice,BAL,RB,16,0,0,0,1223,5,63,556,1,0,0,0,0,17.3,276.9
14,15,Adrian Peterson,MIN,RB,15,0,0,0,1298,12,36,341,1,0,0,0,0,18.4,275.9
15,16,Greg Jennings,GB,WR,16,0,0,0,-1,0,76,1265,12,0,0,0,0,17.1,274.4
16,17,Chris Johnson,TEN,RB,16,0,0,0,1364,11,44,245,1,0,0,0,0,17.1,272.9
17,18,Drew Brees,NO,QB,16,4620,33,22,-3,0,1,7,0,0,0,0,0,16.9,270.2
18,19,Darren McFadden,LV,RB,13,0,0,0,1157,7,47,507,3,0,0,0,0,20.6,267.4
19,20,Calvin Johnson,DET,WR,15,0,0,0,32,0,77,1120,12,0,0,0,0,17.7,266.2
20,21,Matt Forte,CHI,RB,16,0,0,0,1069,6,51,547,3,0,0,0,0,16.5,264.6
21,22,Josh Freeman,TB,QB,16,3451,25,6,364,0,0,0,0,0,0,0,0,16.2,258.4
22,23,Andre Johnson,HOU,WR,13,0,0,0,10,0,86,1216,8,0,0,0,0,19.7,256.6
23,24,Matt Ryan,ATL,QB,16,3705,28,9,122,0,0,0,0,0,0,0,0,15.8,252.4
24,25,Hakeem Nicks,NYG,WR,13,0,0,0,0,0,79,1052,11,0,0,0,0,19.2,250.2
25,26,Mike Wallace,PIT,WR,16,0,0,0,39,0,60,1257,10,0,0,0,0,15.6,249.6
26,27,Jason Witten,DAL,TE,16,0,0,0,0,0,94,1002,9,0,0,0,0,15.5,248.2
27,28,Steve Johnson,BUF,WR,16,0,0,0,0,0,82,1073,10,0,0,0,0,15.5,247.3
28,29,Matt Schaub,HOU,QB,16,4369,24,12,28,0,0,0,0,0,0,0,0,15.3,245.6
29,30,Steven Jackson,LAR,RB,16,0,0,0,1241,6,46,383,0,0,0,0,0,15.2,242.4
30,31,Larry Fitzgerald,ARI,WR,16,0,0,0,0,0,90,1137,6,0,0,0,0,15.1,241.7
31,32,Rashard Mendenhall,PIT,RB,16,0,0,0,1274,13,23,167,0,0,0,0,0,15.1,241.1
32,33,Ahmad Bradshaw,NYG,RB,16,0,0,0,1235,8,47,314,0,0,0,1,0,15.0,239.9
33,34,Santana Moss,WAS,WR,16,0,0,0,-6,0,93,1115,6,0,0,0,0,14.7,235.9
34,35,Maurice Jones-Drew,JAX,RB,14,0,0,1,1324,5,34,317,2,0,0,0,0,16.7,234.1
